song,artist,lyrics
"""Obsession""",Gorilla Zoe,"Hey Let's go Drop a hit Royles Royce My driver look like Mr Belvedere Red Bull lime juice Mix it all up with Belvedere And I can smell that sac is near Told them folk coming back this year Strong team with all my pills We don't send no city zip  Sonny digital  Southern smoke  Man I swear this money Keep me caught up it's a mess Addicted to this money Man I swear I am possesed I might just be obsessed With that fact I'm ballin Cause everytime I sleep I hear dem dead men callin  I'm obsessed with the money I'm Obsessed With these hoes Obsessed with my cars I'm obsessed with clothes  I got obsessions I got obsessions  And I'm obsessed with the drugs Obsessed with the trap I got obsessions for the sac That's why I keep a strap  I got obsessions I got obsessions  Drop a hit Royles Royce My driver look like Mr Belvedere Red Bull lime juice Mix it all up with Belvedere And I can smell that sac is near Told them folk coming back this year Strong team with all my pills We don't send no city zip  We don't catch feelings now Unless you niggas feeling scared I beat ym blue I'm seeing red I heard what you niggas said  D.O.A. You nigga dead Yon going jail We going FED I'm going shopping These bitches bobbing They know I came here Just to ball racks on racks On racks on racks on racks I swear them stacks are tall You don't want no sac at all That's why I can't fuck with ya'll  I'm obsessed with the money I'm Obsessed With these hoes Obsessed with my cars I'm obsessed with clothes  I got obsessions I got obsessions  And I'm obsessed with the drugs Obsessed with the trap I got obsessions for the sac That's why I keep a strap  I got obsessions I got obsessions  One they gotta have it For the paper I'm a savage Everyday I fuck a bitch This life I live is lavish  They say you over doing it I say you just ain't doing it The fantom I spent 2 on it The fantom I put 2 in it  We smoked out Glock 2 in it Easter pink pop In the skybox Cooling it I ain't doing nothing Else not do I wanna All a nigga needs is Weed, pussy and some money  I'm addicted to This ballin shit I'm a ballin nigga so I need a ballin bitch If you ain't talking About no money than Don't bother bitch I went straight to The league No scholarship  I'm obsessed with the money I'm Obsessed With these hoes Obsessed with my cars I'm obsessed with clothes  I got obsessions I got obsessions  And I'm obsessed with the drugs Obsessed with the trap I got obsessions for the sac That's why I keep a strap  I got obsessions I got obsessions  Resist and get the money Excorcist swag Dead president shows In the Louis bag Sacrificial chickens Magically turned into bread Chicken heads automatically Giving me head Addicted to the fans Like like a chunk of crack  Money cars clothes with A big pistol in lap Stacks in the racks Choppers they chick And they clack I'm down bad and the barrel Is AIMED at your hack!  I'm obsessed with the money I'm Obsessed With these hoes Obsessed with my cars I'm obsessed with clothes  I got obsessions I got obsessions  And I'm obsessed with the drugs Obsessed with the trap I got obsessions for the sac That's why I keep a strap  I got obsessions I got obsessions  Man I swear this money Keep me caught up it's a mess Addicted to this money Man I swear I am possesed I might just be obsessed With that fact I'm ballin Cause everytime I sleep I hear dem dead men callin  I got obsessions!"
"""Looking For You""",Addison Road,"Look at me, your eyes so wide, I can see right through you like a window. When your smile rises high, I'll know why. I'll know why  All my life I've searched for somebody but I was looking for you. All the time I was looking for love. You should know I was looking for you. I was looking for you  Dark empty rooms I searched, my heart like a firefly looking for another light to light the night. Light the night  All my life I've searched for something but I was looking for you. All the time I was looking for love. You should know I was looking for you. I was looking for you  I want you and all you are-bandaged, bruised, and scarred. When your smile rises high, I'll know why. I'll know why  All my life I've searched for somebody but I was looking for you. All the time I was looking for love. You should know I was looking for you. I was looking for you  Look at me, your eyes so wide, I can see right through you like a window. When your smile rises high, I'll know why. I'll know why"
"""Lil Shawty""",Gorilla Zoe,Hey Shawt  Hello  What's up baby  Alright I got you I got you  Lil Shawty I love to stunt I ride big trucks We smoke big blunts And spend big bucks  Lil Shawty my rims shined up (rims shined up) My ice is too (ice is too)  Team yellow and red And baby blue  Lil Shawt  Shawty she lookin Shawty so fly Could be a pimp But shawty don't try Shawty got game Like lebron james Call lou ?? Sawty untaimed Shawt got money Lil Shawty want change Shawty ice chains Boyfriends lame Shawty ride trucks Shawty switch lanes Shawt ? Lil Shawty got dranks  Hey shawty what ya want? Tell me wat ya need Shawty got the blunt Girl I got the trees Shawty go off Shawty go hard Shawty go charged Shawty charzard  SHAWTY  Shawty ride a chevy Shawtys gotta cam Shawty ride benz Shawty ride lamb  Real with ya self Lil Shawty he the man Shawty both hands Cause it's a hood show dance  Shawty I love to stunt I ride big trucks We smoke big blunts And spend big bucks  Lil Shawty my rims shined up My ice is too Team yellow and red And baby blues  Lil Shawty  Shawty in the club Floor bag up Paid for eveeything Shawty no scrub Shawty no trick Shawty he plugged
"""Onions""",Haley Smalls,"Made all this money All night nose is runny At home like a dummy You must think it's funny You live for the lie You love seeing me cry I prayed All these nights Thinking you'd change Yeah right Maybe yo mama ain't taught you right Cuz you cant help hurting everyone you meet But you blame it on me Tryna play like you a saint all day But you never treat me that way Home every night And you ain't been home for a week I think we fight so you feel like you free Living life as you please I used to like what I see Now it looks just as bad as it seems And I can't keep on living like this shit makes sense Cuz I'm crying all day Tired of playing defense And I know Gotta let go I deserve better and you never gon' grow And don't like the feeling when you feeling on me Ever since I found out that you been cheating on me Said I'd try to forgive you but you shitted on me I loved you hard but you didn't love me All through the night I'm thinking of how you left me alone Yeah, every night I Don't wanna keep on crying tomorrow Yeah  Crying tears for you Baby I can't Keep crying over you I know It's over Baby Crying for you For nothing Something's Telling me you gotta leave I can't Stay here Done Crying for you  I was naive and I thought you'd change You still think I'ma stay and play your games How you still think I'ma feel the same Stupid You gon' end up all alone and grey You gon' wish time had a replay Living your life for the game's sake Stubborn aw yeah Holding me down You never tried Counting on you I just got tired And I can't take anymore lies You made me feel stuck but I don't anymore Yeah it's hard it cope but that's how love goes I don't wanna feel like I can't let go Had me so cold all alone every night Thinking I could put trust in your word but they're right When they say that real love really can make you blind Cuz I had my eyes closed on board for the ride Up and leave town for days when we fight Thinking I'm slow but I'm used to your lies Out of spite All outta tears so I can't keep crying All through the night I'm thinking of how you left me alone Yeah, every night I Don't wanna keep on crying tomorrow Yeah  Crying tears for you Baby I can't Keep crying over you I know It's over Baby Crying for you For nothing Something's Telling me you gotta leave I can't Stay here Done Crying for you"
"""By My Side""",Maher Zain,"Sometimes I can’t see Where I’m supposed to go Sometimes I speed up, When I should take it slow But through all my hard times When I lose my way You’re concealing my mistakes, yeah!  I know You’re always by my side Never turning out Your light When I need You most Your stars will shine  [Chorus:] When I’m out there in the darkest place Worn and tired I can still see You illuminate All my skies When it feels like I’ve fallen too far from You There You, there You, there You are Guiding me through  Whenever I feel down You can lift me up Turning my life around With Your love No matter how rough it gets I can wear a smile ‘Cause Your mercy never dries  I know You’re always by my side Never turning out Your light When I need You most Your stars will shine  I know You’re always by my side Never turning out Your light When I need You most Your stars will shine  [Chorus:] When I’m out there in the darkest place Worn and tired I can still see You illuminate All my skies When it feels like I’ve fallen too far from You There You, there You, there You are Guiding me through  Ain’t nobody, no no nobody That knows me like You do Ain’t nobody who makes me feel this way Got no worries, no no worries About anything Cause I know You’re always there, oh  [Chorus:] When I’m out there in the darkest place Worn and tired I can still see You illuminate All my skies When it feels like I’ve fallen too far from You There You, there You, there You are Guiding me through"
"""Crazy""",Andrew Garcia,"Crazy cus I'm falling in love Falling deeply in love with you Yeah, its so damn true Friends say I'm outta my mind That I shouldn't be with you But they don't understand  The way I feel for you Is unlike any other thing I've ever felt before But they don't understand That I'm not crazy I'm just a man Searching for reasons to find you Over and over again I'm not crazy, I'm just a man I'm doing everything that I can  Crazy cus I'm telling the truth There's nowhere to run They're telling me that I should find another one They can say I'm outta my mind I'll still be your man They still won't understand  The way I feel for you Is unlike any other thing I've ever felt before But they don't understand That I'm not crazy, I'm just a man Searching for reasons to find you Over and over again I'm not crazy, I'm just a man I'm doing everything that I ...  I'm not crazy, I'm just a man Searching for reasons to find you Over and over again I'm not crazy, I'm just a man I'm doing everything but I'm not crazy, I'm just a man Searching for reasons to find you Over and over again I'm not crazy, I'm just a man I'm doing everything that I can"
"""True Colours""",Theresa Sokyrka & Simon Jasieniuk,"You with the sad eyes Don't be discouraged Oh, I realize It's hard to take courage In a world full of people You can lose sight of it all And the darkness inside you Can make you feel so small  But I see your true colors Shining through I see your true colors And that's why I love you So don't be afraid to let them show Your true colors True colors are beautiful Like a rainbow  Show me a smile then Don't be unhappy, can't remember When I last saw you laughing If this world makes you crazy And you've taken all you can bear Just call me up Because you know I'll be there  And I'll see your true colors Shining through I see your true colors And that's why I love you So don't be afraid to let them show True colors True colors True colors are shining through I see your true colors And that's why I love you So don't be afraid to let them show True colors True colors are beautiful Like a rainbow Like a rainbow"
"""Demon's Dance""",Freedom Call,"Shadows everywhere The land lies cold under a blackened sun We write the year 3051 A hand full of men are carrying out a mission for the survival of mankind What they might discover, lies far beyond our imagination Join them on their journey through the dimensions"
"""The Bridge""",Travie McCoy,"Yeah, imagine them pushing your last buttons And having everything you want but still having nothing You probably think that you could handle that But if I was to hand you my life, you'd probably hand it back And I take that with a smile Finally free, feel like I'm running naked in the wild See I was doing fine to the naked eye I almost didn't make it, I was in that tub in France plotting my great demise Like, what if I laid down on the train tracks? Would they care if I went for a walk and never came back? Fuck that, this is Travie at his best And that'll only satisfy everybody that matters less I just ate off the plate that I was served till I was winning So when life threw me lemons, I added zest Fuck that feeling that you get on the first when you lost the rent 'Cause everything that matters the most don't cost a cent And everything that matters the least can cost your life So whatever, it don't matter to me, there goes your price Gingerbread man fresh out the oven, running fast as I can Trying not to be another flash in the pan  I'm standing on the bridge tonight With one foot on the edge I'm tryna break the spell you put on me With one foot on the edge  The other day I was looking out the window Sitting, thinking how my cousin took his own life We had just exchanged words, so I thought it was my fault Should've seen me, I was bugging out the whole night Finding real friends is harder than a textbook They just wanna know how many pages in your checkbook Opportunists out here looking for their next look But I can see the enemy and I don't need that energy Those paper cuts hurt enough, I quit Good thing I never cut my wrists That was a close call and now I design my own toys Just closed a deal on a capsule collection, now that's a clothes call I'm cut from a different cloth, always gave you the real Got more cloth, then I gave you the quilt Like stay warm in summer, I still gave you the chills Until I found out what my purpose is and I haven't quit working since So stand up like there's fire under your seat All I wanna do is inspire you at the least I shoot for the stars trying to fly already And grow wings like I died already  I'm standing on the bridge tonight With one foot on the edge I'm tryna break the spell you put on me With one foot on the edge  I've been thinking 'bout it, I've been up all night I wasn't supposed to be here, I'm on borrowed time I never really thought about tomorrow, I Climb the ladder to the bridge, I'ma tell you how I went I've been thinking 'bout it, I've been up all night I wasn't supposed to be here, I'm on borrowed time I never really thought about tomorrow, I Climb the ladder to the bridge, I'ma tell you how I went I've been thinking 'bout it, I've been up all night I wasn't supposed to be here, I'm on borrowed time I never really thought about tomorrow, I Climb the ladder to the bridge, I'ma tell you how I went I've been thinking 'bout it, I've been up all night I wasn't supposed to be here, I'm on borrowed time I never really thought about tomorrow, I Climb the ladder to the bridge, I'ma tell you how I went  Climb the ladder to the bridge, I'ma tell you how I went Climb the ladder to the bridge, I'ma tell you how I went The bridge"
