song,artist,lyrics
"""Your Love""",Marie Digby,"I can never find the words to describe what you do to me If I did it would sound like a hundred symphonies The sun would descend from the sky Just to see who stole all his light and glory You and me, cant you see We could change all of history  When the crowd parts and I find your face Its only you Im seeing  Your love, your love, your love, your love, your love Is all that I need Your love, your love, your love, your love, your love So honey, stay right here with me Your touch, your smile, your kiss, your heart is lighting me up Your love, your love, your love, your love, your love Is all that I need, oh  I remember walking with you on that April night I was cold and you knew it, youd ask me if Im alright Then you reached for my hand, held it tightly in yours And neither of us could say a thing But the look on your face, to me, it meant everything I cant help repeating what happened that day over and over  Your love, your love, your love, your love, your love Is all that I need Your love, your love, your love, your love, your love So honey, stay right here with me Your touch, your smile, your kiss, your heart is lighting me up Your love, your love, your love, your love, your love Is all that I need  If something is good, it can last forever So hold me tightly cause time dont matter when were together  Your love, your love, your love, your love, your love Is all that I need Your love, your love, your love, your love, your love So honey, stay right here with me  Your love, your love, your love, your love, your love Is all that I need Your love, your love, your love, your love, your love So honey, stay right here with me Your touch, your smile, your kiss, your heart is lighting me up Your love, your love, your love, your love, your love Is all that I need"
"""Only One""",Haley Smalls,"Only one, only that you gotta love, you'll never love...  Only one, only that you gotta love, you'll never love Only one, only that you gotta love, you'll never love Only one, only that you gotta love, you'll never love (Goddamn) Only one (Yeah) Only that you gotta love, you'll never love  I'm not even the type to sit around and be lied to Stick around while you try to, say my feeling surprise you Loving me should be simple, way you love me is sinful You still move like you single, heartache stuck to my pillow  It's also the thought of you sharing your love with someone Makes nauseous, they say you don't choose who you love so Keep a shield around your heart and be cautious Now you treat me like muhfuckin' option, yeah  Are you just too afraid to leave my babe Keep me around 'cause you need me babe Fake love is all that you feed me baby Maybe it's time that you freed me babe  Only one (Only one) only that you gotta love, you'll never love (Yeah, yeah) Only one (Only one) only that you gotta love, that you'll never love Only one, only that you gotta love, that you'll never love (Oh no way) Only one, only that you gotta love, you'll never love  The only one, only that you gotta love, you'll never love"
"""Love You More""",Steve Aoki,"Love till infinity  I follow the attraction Even if it don't make sense Heaven is destruction Of what I thought I knew back then  I just wanna fight you When we're standing face to face Freaking out cause it's getting real So this is how love feels (uh huh)  And with every rule you break Every risk you dare to take There's one thing I can't ignore It's that I Love you more It's that I Love you more It's that I Love you more There's one thing I can't ignore It's that I Love you more  Had to be my savior Love to hate that you're so right What's with your bad behavior Is it a mirror of mine?  If I just wanna fight you (love) When we're standing face to face Freaking out cause it's getting real So this is how love feels (uh huh)  And with every rule you break Every risk you dare to take There's one thing I can't ignore It's that I Love you more It's that I Love you more It's that I Love you more There's one thing I can't ignore It's that I Love you more  Girl I love you till infinity Love you with all my abilities Loved you since you walked into my vicinity Girl you number one, you the top pedigree Can't nobody touch you, no comparabilities Me and you we go that electricities We gonna start a family really no fantasy You plus me is three One two three Start the legacy Let me love you with infinite possibilities Hand on heart I hope we learn from our stupidities I promise I'ma protect all your vulnerabilities (oh yeah) Simply put I love you multiplicity  And with every rule you break Every risk you dare to take There's one thing I can't ignore It's that I Love you more It's that I Love you more It's that I Love you more There's one thing I can't ignore It's that I Love you more  Love, love till infinity (Love you more) (Love you more) Love, love, love till infinity"
"""If I Told You That I Love You""",Steve Aoki,"Ey, if I (Steve Aoki), if I If I told you that I love you Ey, if I told you that I love you Would you think I'm lyin'? Tell you that I love you  Niggas that been through it all Catch me a body on many a song I like a bitch with a body and mind I climb in her eyes to get to them draws Hot as July on a Wimbledon court How 'bout a ride? The windows go up Holler or holla? Then call the promoter Pull up and I go and then turn that bitch up Caught me a body in many a club Want a Bugatti, I'm spending too much Wanna do Molly then holla at [?] But trust me you want it you gonna be up Handle my business get rid of these boys Ask all my haters come gimme some more Never was trapping but I got that crack and that Bando was jumping like instrument stores  If I told you that I love you, love you Would you think I lied? If I told you that I love you 'Cause I will fall with you If I told you that I love you, love you If I tell you that I love you, love you, love you  'Cause I will fall with you 'Cause I will fall with you And you, and you, and you, and you (I love you, I love you) 'Cause I will fuck with you (I love you, I love you)  Ey, nigga who's been through it all Catch him a body I give him a call Catch me somewhere with that positive vibe The moon and the sky, I'm stunnin' 'em all Trust me Lil youngin' the summer is odd Fucking with [?] Stunting, stunting, stunting, stunting so hard Think I'm finna get my body insured, yeah Stop being jealous, no, I'm not a killer but I got me a gun, yeah I'm shining forever the prodigal son of the diamond I'm from I'm just a chip from the diamond I'm from Got popular young when rapping was fun Show off my nigga, go show off my nigga You show out enough, they clap and applaud  If I told you that I love you, love you Would you think I lied? If I told you that I love you 'Cause I will fall with you If I told you that I love you, love you Would you think I lied? If I tell you that I love you, love you, love you  'Cause I will fall with you 'Cause I will fall with you And you, and you, and you, and you (I love you, I love you) 'Cause I will fuck with you (I love you, I love you)"
"""True Love""",Maher Zain,"I long for a world so pure and free I wish for others all Id wish for me To live right, avoiding what is wrong And focus everyday on the ultimate goal  Forever, whats in my heart Is all of the love from Allah  [Chorus:] True love, its a gift I will never let go of true love I will give my body and soul for true love Everyday in my heart I feel it grow With true love, oh oh True love, love, love yeah!  Each day Ill extend my hand Give my all and do whatever I can For a good life Of joy and happiness Everything I do I start in His Name  Forever, whats in my heart Is all of the love from Allah  [Chorus:] True love, its a gift I will never let go of true love I will give my body and soul for true love Everyday in my heart I feel it grow With true love, oh oh True love, love, love yeah!  Now raise your hands And lets be thankful to Allah True love! Lets forgive each other with all our hearts True love! I never knew it would feel so good Just being true to myself and true to You  [Chorus:] True love, its a gift I will never let go of true love I will give my body and soul for true love Everyday in my heart I feel it grow With true love, oh oh True love, love, love yeah!"
"""Brand New Kind Of Love""",Bobby Goldsboro,If I could love you If you would let me love you We'd have a brand new kind of love  We'd take it easy We'd take it nice and easy A light and breezy kind of love  And the lovers that you've known before You'd never want to see 'em any more And this feeling that I feel for you Maybe you could get that feeling to  If I could hold you If you would let me hold you My arms would enfold you like a glove  It would be special It would be something special We'd have a brand new kind of love  If I could love you If you would let me love you We'd have a brand new kind of love  We'd take it easy We'd take it nice and easy A light and breezy kind of love  Let me take you to my world of love The kind of lovin' you've been dreamin' of And you'll find when I open the door You've never really been in love before  If I could love you If I could love you We'd have a brand new kind of love A brand new kind of love A brand new kind of love A brand new kind of love
"""In The Name Of Love""",Delta Goodrem,"Started on the outside, worked my way in Tracing the road to where it all begins Watching myself back, now I've finally got it I've just felt so lost when I wasn't honest But now  I'm standing on my feet, I'm saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love  They say all is fair in love and war But nothing ever really is With best intentions they can leave you torn But baby that's the way it is Every choice in life may not be perfect But in time we'll find it'll be forgotten Yeah  I'm standing on my feet, I'm saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love  I tell it just the way it is  And here I am just standing on my feet, saying how I feel Fighting here for everything that's real And even when it hurts, for all that I am worth I'm fighting here for everything I feel In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love In the name of love"
"""Love Of My Life""",Brian May,Love of my life you've hurt me You've broken my heart and now you leave me Love of my life can't you see Bring it back bring it back Don't take it away from me Because you don't know What it means to me  Love of my life don't leave me You've taken my love you now desert me Love of my life can't you see Bring it back bring it back Don't take it away from me Because you don't know What it means to me  You will remember When this is blown over And everything's all by the way When I grow older I will be there at your side to remind you How I still love you I still love you  Back hurry back Please bring it back home to me Because you don't know What it means to me Love of my life Love of my life Yeah
"""Somebody To Love""",OneRepublic,Never could imagine The way the story happened You with someone new I used to be your focus Now you don't even notice When I leave the room  You weren't even trying to make me jealous But you can't help it You can't help it  And it kills me to know that you found Somebody to love Somebody to love  Tell me how can I go on without Somebody to love Somebody to love Somebody to love Somebody to love Somebody to love  They say that loves come easy Whenever it comes easy I see it on your face I don't want you to be lonely But right now I'm the only One who feels this way  I ain't even trying to make you miss me Make you miss me I know we're history  But it kills me to know that you found Somebody to love Somebody to love  Tell me how can I go on without Somebody to love Somebody to love Somebody to love Somebody to love Somebody to love  SOME BODY TO LOVE SOME BODY SOME BODY TO LOVE SOME BODY  You weren't even trying to make me jealous But you can't help it You can't help it  And it kills me to know that you found Somebody to love Somebody to love  Tell me how I can go on without Somebody to love Somebody to love Somebody to love Somebody to love  I used to be your focus Now you don't even notice When I leave the room
"""I Love You So""",Maher Zain,"I pray to God My heart, soul, and body Every single day of my life With every breath I solemnly promise To try to live my life for you  O Allah, You did revive my soul And shone Your light into my heart So pleasing You is now my only goal Oh I love You so I love You so (I love You so)  [Chorus:] Now I know how its like To have a precious love in my life Now I know how it feels To finally be at peace inside I wish that everybody knew How amazing it feels to love You I wish that everyone could see How Your love has set me free Set me free and made me strong  O Allah, Im forever grateful to You Whatever I say could never be enough You gave me strength to overcome my uncertainties And stand firm against all the odds  You are the one who did revive my soul You shone Your light into my heart So pleasing You is now my only goal Oh I love You so I love You so (I love You so)  [Chorus]  My love, my life, my days, my nights, my wealth, my prayers  all for You [x2] And I swear that I will never put anyone or anything before You My love, my life, my days, my nights, my wealth, my prayers  all for You  [Chorus]"
